iter	Passed	Remaining
401	13732	20428
402	13763	20388
403	13795	20351
404	13826	20313
405	13861	20280
406	13895	20246
407	13926	20206
408	13956	20167
409	13988	20130
410	14019	20091
411	14051	20053
412	14082	20015
413	14120	19987
414	14151	19947
415	14180	19907
416	14210	19867
417	14240	19828
418	14275	19794
419	14315	19768
420	14345	19729
421	14377	19692
422	14410	19656
423	14446	19625
424	14480	19591
425	14517	19560
426	14554	19530
427	14587	19495
428	14618	19457
429	14653	19423
430	14684	19386
431	14718	19351
432	14754	19320
433	14787	19285
434	14819	19247
435	14852	19213
436	14886	19179
437	14921	19145
438	14961	19118
439	14995	19085
440	15030	19052
441	15062	19015
442	15095	18980
443	15136	18954
444	15170	18920
445	15204	18886
446	15238	18852
447	15267	18811
448	15297	18773
449	15330	18737
450	15372	18712
451	15403	18675
452	15436	18639
453	15466	18601
454	15496	18561
455	15527	18524
456	15557	18485
457	15595	18455
458	15627	18419
459	15661	18385
460	15691	18346
461	15726	18313
462	15754	18272
463	15786	18236
464	15822	18204
465	15855	18169
466	15885	18130
467	15918	18094
468	15949	18058
469	15981	18022
470	16013	17985
471	16048	17952
472	16083	17919
473	16117	17885
474	16149	17849
475	16181	17812
476	16213	17777
477	16249	17745
478	16284	17712
479	16318	17678
480	16354	17646
481	16387	17611
482	16426	17583
483	16459	17547
484	16496	17517
485	16529	17482
486	16564	17448
487	16597	17414
488	16628	17376
489	16662	17342
490	16697	17309
491	16732	17276
492	16764	17240
493	16798	17206
494	16830	17170
495	16864	17136
496	16897	17101
497	16937	17073
498	16969	17037
499	17004	17004
500	17037	16969
501	17075	16939
502	17110	16906
503	17151	16879
504	17187	16847
505	17220	16812
506	17249	16773
507	17279	16735
508	17313	16700
509	17344	16664
510	17382	16633
511	17411	16595
512	17444	16560
513	17476	16524
514	17507	16487
515	17540	16453
516	17571	16416
517	17609	16385
518	17642	16350
519	17674	16314
520	17705	16278
521	17735	16240
522	17765	16203
523	17797	16166
524	17834	16135
525	17868	16101
526	17898	16064
527	17934	16032
528	17963	15994
529	17994	15957
530	18023	15918
531	18057	15884
532	18085	15846
533	18115	15808
534	18145	15771
535	18175	15734
536	18209	15699
537	18242	15665
538	18278	15633
539	18315	15602
540	18352	15570
541	18386	15537
542	18421	15503
543	18450	15466
544	18489	15436
545	18521	15400
546	18559	15370
547	18594	15336
548	18632	15306
549	18666	15272
550	18709	15245
551	18739	15208
552	18776	15177
553	18807	15140
554	18838	15104
555	18871	15070
556	18904	15035
557	18941	15004
558	18979	14973
559	19014	14939
560	19048	14905
561	19082	14872
562	19125	14845
563	19162	14813
564	19192	14776
565	19221	14738
566	19254	14704
567	19284	14666
568	19312	14628
569	19351	14598
570	19385	14564
571	19415	14527
572	19448	14492
573	19476	14454
574	19509	14420
575	19541	14384
576	19576	14351
577	19610	14317
578	19642	14282
579	19673	14246
580	19704	14210
581	19737	14175
582	19772	14142
583	19801	14105
584	19831	14068
585	19863	14033
586	19894	13997
587	19926	13962
588	19960	13928
589	19992	13893
590	20023	13857
591	20053	13820
592	20082	13783
593	20115	13749
594	20148	13714
595	20189	13685
596	20224	13652
597	20260	13620
598	20294	13585
599	20329	13553
600	20364	13519
601	20398	13485
602	20438	13456
603	20472	13422
604	20506	13388
605	20541	13355
606	20576	13321
607	20617	13292
608	20652	13259
609	20686	13225
610	20717	13190
611	20753	13157
612	20786	13123
613	20825	13092
614	20861	13059
615	20895	13026
616	20929	12991
617	20962	12957
618	20994	12922
619	21028	12888
620	21071	12860
621	21103	12824
622	21141	12793
623	21177	12760
624	21210	12726
625	21240	12690
626	21272	12654
627	21309	12622
628	21338	12585
629	21371	12551
630	21404	12516
631	21436	12481
632	21466	12445
633	21495	12409
634	21530	12375
635	21562	12340
636	21591	12304
637	21625	12270
638	21656	12234
639	21688	12199
640	21720	12164
641	21757	12132
642	21788	12097
643	21819	12061
644	21852	12027
645	21883	11991
646	21918	11958
647	21952	11924
648	21990	11892
649	22025	11859
650	22063	11828
651	22095	11793
652	22127	11758
653	22158	11723
654	22195	11690
655	22230	11657
656	22264	11623
657	22298	11589
658	22330	11554
659	22361	11519
660	22402	11489
661	22438	11456
662	22472	11422
663	22503	11387
664	22534	11351
665	22566	11317
666	22601	11283
667	22639	11252
668	22672	11217
669	22706	11183
670	22742	11150
671	22776	11117
672	22814	11085
673	22854	11054
674	22891	11021
675	22924	10987
676	22957	10952
677	22989	10918
678	23031	10888
679	23064	10853
680	23097	10819
681	23130	10784
682	23163	10750
683	23192	10714
684	23230	10682
685	23270	10651
686	23305	10617
687	23344	10586
688	23376	10551
689	23410	10517
690	23439	10481
691	23472	10447
692	23505	10412
693	23536	10377
694	23565	10341
695	23596	10306
696	23625	10270
697	23658	10236
698	23693	10202
699	23723	10167
700	23758	10133
701	23788	10098
702	23819	10063
703	23851	10028
704	23881	9992
705	23918	9960
706	23947	9924
707	23978	9889
708	24012	9855
709	24045	9821
710	24075	9785
711	24104	9750
712	24138	9716
713	24172	9682
714	24206	9648
715	24238	9614
716	24274	9581
717	24308	9547
718	24344	9514
719	24382	9482
720	24415	9447
721	24448	9413
722	24483	9380
723	24515	9345
724	24553	9313
725	24590	9280
726	24624	9246
727	24653	9211
728	24687	9177
729	24720	9143
730	24754	9109
731	24798	9079
732	24830	9044
733	24864	9010
734	24894	8975
735	24930	8942
736	24964	8908
737	25003	8876
738	25043	8844
739	25076	8810
740	25109	8776
741	25139	8741
742	25171	8706
743	25203	8672
744	25241	8639
745	25271	8604
746	25303	8569
747	25335	8535
748	25372	8502
749	25405	8468
750	25440	8435
751	25468	8399
752	25503	8365
753	25534	8330
754	25565	8296
755	25597	8261
756	25633	8228
757	25664	8193
758	25694	8158
759	25725	8123
760	25757	8089
761	25790	8055
762	25830	8023
763	25869	7991
764	25907	7958
765	25944	7925
766	25976	7891
767	26007	7856
768	26036	7821
769	26072	7788
770	26103	7753
771	26138	7719
772	26169	7685
773	26204	7651
774	26238	7617
775	26275	7584
776	26313	7551
777	26343	7517
778	26376	7482
779	26410	7449
780	26441	7414
781	26475	7380
782	26519	7349
783	26553	7315
784	26588	7282
785	26622	7248
786	26655	7214
787	26687	7179
788	26726	7147
789	26759	7113
790	26791	7079
791	26825	7045
792	26856	7010
793	26889	6976
794	26930	6944
795	26963	6910
796	26995	6875
797	27029	6841
798	27065	6808
799	27103	6775
800	27140	6742
801	27176	6709
802	27210	6675
803	27244	6641
804	27278	6607
805	27310	6573
806	27342	6539
807	27379	6506
808	27412	6472
809	27445	6437
810	27479	6403
811	27508	6368
812	27540	6334
813	27570	6299
814	27604	6266
815	27633	6231
816	27665	6196
817	27696	6162
818	27729	6128
819	27762	6094
820	27791	6059
821	27825	6025
822	27858	5991
823	27889	5957
824	27919	5922
825	27950	5887
826	27981	5853
827	28013	5819
828	28049	5785
829	28079	5751
830	28109	5716
831	28140	5682
832	28170	5647
833	28203	5613
834	28236	5579
835	28280	5547
836	28313	5513
837	28349	5480
838	28385	5447
839	28414	5412
840	28448	5378
841	28483	5344
842	28521	5311
843	28553	5277
844	28590	5244
845	28624	5210
846	28655	5176
847	28689	5142
848	28722	5108
849	28755	5074
850	28785	5040
851	28818	5006
852	28853	4972
853	28891	4939
854	28931	4906
855	28963	4872
856	29000	4838
857	29034	4805
858	29070	4771
859	29104	4737
860	29140	4704
861	29172	4670
862	29204	4636
863	29235	4601
864	29264	4567
865	29297	4533
866	29330	4499
867	29369	4466
868	29402	4432
869	29431	4397
870	29462	4363
871	29494	4329
872	29527	4295
873	29559	4261
874	29598	4228
875	29630	4194
876	29665	4160
877	29696	4126
878	29727	4092
879	29758	4057
880	29788	4023
881	29823	3990
882	29853	3955
883	29882	3921
884	29917	3887
885	29947	3853
886	29977	3819
887	30007	3784
888	30041	3751
889	30079	3717
890	30113	3683
891	30151	3650
892	30187	3617
893	30223	3583
894	30259	3549
895	30294	3516
896	30328	3482
897	30365	3449
898	30395	3414
899	30429	3381
900	30465	3347
901	30498	3313
902	30531	3279
903	30567	3246
904	30607	3212
905	30642	3179
906	30677	3145
907	30715	3112
908	30750	3078
909	30784	3044
910	30815	3010
911	30847	2976
912	30880	2942
913	30921	2909
914	30955	2875
915	30987	2841
916	31020	2807
917	31052	2773
918	31088	2740
919	31124	2706
920	31156	2672
921	31187	2638
922	31217	2604
923	31248	2570
924	31284	2536
925	31317	2502
926	31352	2468
927	31383	2434
928	31412	2400
929	31445	2366
930	31481	2333
931	31518	2299
932	31548	2265
933	31579	2231
934	31612	2197
935	31644	2163
936	31680	2130
937	31716	2096
938	31751	2062
939	31782	2028
940	31813	1994
941	31844	1960
942	31874	1926
943	31905	1892
944	31942	1859
945	31973	1825
946	32005	1791
947	32034	1757
948	32066	1723
949	32100	1689
950	32132	1655
951	32169	1622
952	32201	1588
953	32238	1554
954	32270	1520
955	32303	1486
956	32339	1453
957	32370	1419
958	32408	1385
959	32440	1351
960	32479	1318
961	32513	1284
962	32546	1250
963	32580	1216
964	32614	1182
965	32646	1149
966	32682	1115
967	32719	1081
968	32755	1047
969	32792	1014
970	32829	980
971	32865	946
972	32894	912
973	32927	878
974	32964	845
975	33003	811
976	33040	777
977	33072	743
978	33107	710
979	33136	676
980	33169	642
981	33201	608
982	33236	574
983	33268	540
984	33299	507
985	33331	473
986	33361	439
987	33390	405
988	33425	371
989	33454	337
990	33485	304
991	33515	270
992	33548	236
993	33582	202
994	33617	168
995	33652	135
996	33683	101
997	33714	67
998	33748	33
999	33785	0
