iter	MultiClass
413	0.9156205833
414	0.9155382003
415	0.9154995484
416	0.915424109
417	0.9153732616
418	0.9153470404
419	0.9153133341
420	0.9152767987
421	0.915243105
422	0.9151906049
423	0.9151304548
424	0.9150972436
425	0.9150339626
426	0.9149896639
427	0.9149279273
428	0.9148776702
429	0.9148117771
430	0.9147619693
431	0.9147097119
432	0.9146291785
433	0.9145788656
434	0.9145593364
435	0.9145045085
436	0.9144699571
437	0.9144063047
438	0.9143636498
439	0.9142966544
440	0.9142162965
441	0.9141756486
442	0.9140952034
443	0.9140270099
444	0.9139702468
445	0.9139079454
446	0.9138244686
447	0.9137705513
448	0.9137104651
449	0.9136392907
450	0.9135549439
451	0.9134574908
452	0.9134106573
453	0.9133485278
454	0.913303441
455	0.9132445328
456	0.9132103657
457	0.9131461252
458	0.9130905453
459	0.9130372577
460	0.9129814083
461	0.9129334298
462	0.9128912611
463	0.9128184933
464	0.9127755627
465	0.9127207532
466	0.9126936454
467	0.9126233851
468	0.9125714235
469	0.9124956434
470	0.9124394692
471	0.9124060568
472	0.9123467628
473	0.912303702
474	0.9122257574
475	0.9121701271
476	0.9120950531
477	0.9120229161
478	0.9119953354
479	0.91193959
480	0.9118668812
481	0.9118184018
482	0.9117632722
483	0.9117187265
484	0.9116741859
485	0.9116187526
486	0.9115917688
487	0.9115325686
488	0.9114914319
489	0.911455479
490	0.9114170095
491	0.9113773753
492	0.9113412764
493	0.9112853983
494	0.911221141
495	0.9111593561
496	0.9111126031
497	0.9110766652
498	0.9110316325
499	0.9109610786
500	0.9108945587
501	0.9108421379
502	0.9107674187
503	0.9106965801
504	0.9106575709
505	0.9105994612
506	0.9105514672
507	0.9104781962
508	0.9103943859
509	0.9103559201
510	0.9102865482
511	0.9102418833
512	0.9101868436
513	0.9101395964
514	0.9100878475
515	0.9099833872
516	0.9099271271
517	0.9098672047
518	0.9097953602
519	0.9097543926
520	0.9097051629
521	0.9096566496
522	0.9096045943
523	0.9095539521
524	0.9094902116
525	0.9094372775
526	0.9093926992
527	0.90933692
528	0.9092878209
529	0.9092305927
530	0.9091880684
531	0.9091481399
532	0.9091177331
533	0.9090926905
534	0.9090499168
535	0.9089898962
536	0.9089443519
537	0.9089027504
538	0.9088583124
539	0.9087997788
540	0.9087466054
541	0.9087031192
542	0.9086333104
543	0.9086120705
544	0.9085746297
545	0.9085206325
546	0.9084602575
547	0.9084137159
548	0.9083629092
549	0.9082915514
550	0.9082080348
551	0.90815827
552	0.9080849394
553	0.9080291477
554	0.9079883618
555	0.907936294
556	0.9078837801
557	0.9078184623
558	0.9077674735
559	0.9077251854
560	0.9077008419
561	0.9076494534
562	0.9075878474
563	0.9075073996
564	0.9074696995
565	0.9074343497
566	0.9073633309
567	0.9073230786
568	0.9072846325
569	0.9072443829
570	0.9071678627
571	0.9071487133
572	0.907087003
573	0.9070407375
574	0.9069913276
575	0.9069649034
576	0.9069001774
577	0.9068259375
578	0.9067718786
579	0.9067337349
580	0.9066765064
581	0.9066108703
582	0.9065661257
583	0.9065161424
584	0.906487579
585	0.9064488489
586	0.9064235204
587	0.9063629133
588	0.9063109866
589	0.9062686066
590	0.9062205992
591	0.9061823247
592	0.9061361454
593	0.9060919877
594	0.906039683
595	0.9060006243
596	0.9059475499
597	0.9058798509
598	0.9058368269
599	0.9057863503
600	0.9057209347
601	0.9056431344
602	0.9055955155
603	0.9055457197
604	0.9054736688
605	0.9054160678
606	0.9053576893
607	0.9053003105
608	0.9052576925
609	0.9051997726
610	0.9051506279
611	0.9050985881
612	0.9050394101
613	0.9049905993
614	0.9049365063
615	0.9048907717
616	0.9048472771
617	0.9047933696
618	0.9047394007
619	0.9047129293
620	0.9046273478
621	0.9045987988
622	0.9045557326
623	0.904508171
624	0.9044700652
625	0.9044209301
626	0.9043817472
627	0.9043236358
628	0.9042857088
629	0.9042377913
630	0.9042100352
631	0.9041339558
632	0.9040674277
633	0.9040128633
634	0.9039759089
635	0.9039408696
636	0.9038983395
637	0.9038356066
638	0.9037750605
639	0.9037318436
640	0.9036878082
641	0.9036544549
642	0.9036008958
643	0.9035481052
644	0.9034998109
645	0.9034298774
646	0.9033724775
647	0.9033280229
648	0.9032884624
649	0.9032320487
650	0.9031873325
651	0.9031375558
652	0.9030873662
653	0.9030548728
654	0.9029858032
655	0.9029287638
656	0.9028933418
657	0.9028587468
658	0.9028398633
659	0.9028145193
660	0.9027727045
661	0.9027097458
662	0.9026509403
663	0.9025869786
664	0.9025498857
665	0.9025120285
666	0.9024362736
667	0.902384649
668	0.9023533895
669	0.9022968712
670	0.9022435025
671	0.9022062206
672	0.9021720437
673	0.9021094474
674	0.9020475329
675	0.9020172994
676	0.9019638736
677	0.9018977497
678	0.9018374168
679	0.9017883605
680	0.9017555115
681	0.9017129866
682	0.9016577042
683	0.9016065631
684	0.9015485258
685	0.9015070108
686	0.9014764688
687	0.901429451
688	0.9013934278
689	0.9013542935
690	0.9013268489
691	0.9012910865
692	0.9012281913
693	0.9011751093
694	0.9011382459
695	0.9010990075
696	0.9010575884
697	0.9010105943
698	0.9009696036
699	0.9009291573
700	0.9008433479
701	0.9008158249
702	0.9007553648
703	0.900707971
704	0.9006656361
705	0.9006088243
706	0.9005752767
707	0.9005375908
708	0.9004535064
709	0.9004050636
710	0.9003660156
711	0.9003272148
712	0.9002997326
713	0.9002477265
714	0.9001855514
715	0.9001333876
716	0.9000543333
717	0.8999664426
718	0.8999174193
719	0.8998864427
720	0.8998517249
721	0.8998085341
722	0.8997604925
723	0.8997252446
724	0.8996563563
725	0.8995744493
726	0.8995397231
727	0.8995263831
728	0.8995051104
729	0.8994451768
730	0.8994152436
731	0.8993614335
732	0.8993234244
733	0.8992924186
734	0.8992435067
735	0.8992092442
736	0.8991488906
737	0.8991055073
738	0.8990401562
739	0.8989679347
740	0.8989272909
741	0.8988976687
742	0.8988328595
743	0.8988018355
744	0.8987722422
745	0.8987366241
746	0.8986943575
747	0.8986647232
748	0.8986122178
749	0.8985736054
750	0.8985320446
751	0.898499928
752	0.8984637434
753	0.8984103719
754	0.8983567644
755	0.8982932009
756	0.8982590285
757	0.8982086417
758	0.8981650481
759	0.8980952932
760	0.8980296339
761	0.8979997469
762	0.8979340108
763	0.897842368
764	0.8977962965
765	0.8977173227
766	0.8976536566
767	0.8975956718
768	0.8975716796
769	0.8975332674
770	0.8974986421
771	0.8974667581
772	0.8974151543
773	0.8973770415
774	0.8973339214
775	0.8972941845
776	0.8972525805
777	0.8972169309
778	0.8972029191
779	0.8971635204
780	0.8971258419
781	0.8970914681
782	0.897042407
783	0.8970127925
784	0.8969830295
785	0.8969163378
786	0.896866935
787	0.8968421635
788	0.8967799239
789	0.8967463523
790	0.896705334
791	0.8966653971
792	0.89663554
793	0.8965743462
794	0.8965229282
795	0.8964838741
796	0.8964593293
797	0.8964023175
798	0.8963315272
799	0.896287569
800	0.8962203518
801	0.8961768776
802	0.8961538231
803	0.8960905546
804	0.8960473516
805	0.8960112882
806	0.8959694272
807	0.8959224512
808	0.8958600663
809	0.8958021331
810	0.8957463107
811	0.8956904668
812	0.8956349586
813	0.8956009416
814	0.8955662971
815	0.8955192179
816	0.8954887393
817	0.8954468018
818	0.8953675263
819	0.8953033723
820	0.8952521739
821	0.8952123052
822	0.8951742755
823	0.895122616
824	0.89510066
825	0.8950361137
826	0.8949996945
827	0.8949649174
828	0.8949214683
829	0.8949035264
830	0.89484979
831	0.8948048471
832	0.8947805892
833	0.894749567
834	0.8947111932
835	0.8946372682
836	0.8945777141
837	0.894544162
838	0.8944890101
839	0.8944780221
840	0.8944508932
841	0.8944053274
842	0.8943639631
843	0.8943333543
844	0.894298053
845	0.8942615908
846	0.8942233383
847	0.894179413
848	0.8941487934
849	0.8941159499
850	0.8940712262
851	0.8940111151
852	0.8939715129
853	0.8939227455
854	0.8938934362
855	0.8938475062
856	0.8938004509
857	0.8937873241
858	0.8937139052
859	0.8936815053
860	0.8936482439
861	0.8936049694
862	0.8935631286
863	0.8935081434
864	0.8934634013
865	0.8934144157
866	0.8933735754
867	0.8933165061
868	0.8932641793
869	0.8932363999
870	0.8932106546
871	0.8931831934
872	0.8931384926
873	0.8930824941
874	0.8930394985
875	0.8929958909
876	0.8929606316
877	0.8929270777
878	0.8929007694
879	0.892855573
880	0.8928266386
881	0.8927800082
882	0.8927462919
883	0.8927048456
884	0.892631935
885	0.8926009468
886	0.8925735223
887	0.8925360377
888	0.8925063825
889	0.8924658173
890	0.8924295982
891	0.892375306
892	0.8923334632
893	0.8922559171
894	0.8921904918
895	0.8921582014
896	0.8921394011
897	0.8920786278
898	0.8920419712
899	0.8920135653
900	0.8919692247
901	0.891925522
902	0.8918967089
903	0.8918544302
904	0.8918054176
905	0.891771862
906	0.8917318809
907	0.8916832112
908	0.8916285616
909	0.8915980947
910	0.8915634428
911	0.8915373221
912	0.8914923634
913	0.8914555528
914	0.8913957478
915	0.8913693057
916	0.8913388333
917	0.8913050039
918	0.8912535054
919	0.8912076303
920	0.891180204
921	0.8911332371
922	0.8910892788
923	0.8910446131
924	0.8910028741
925	0.8909866751
926	0.8909483739
927	0.8909059041
928	0.8908705626
929	0.8908038339
930	0.8907582332
931	0.8907283163
932	0.8906895139
933	0.8906448351
934	0.8906153599
935	0.8905606035
936	0.8905202969
937	0.890469697
938	0.8904174423
939	0.8903568085
940	0.8903221622
941	0.8902655434
942	0.8902331052
943	0.8901894177
944	0.8901364488
945	0.890100842
946	0.8900804979
947	0.8900595181
948	0.8900090332
949	0.8899454233
950	0.8899144257
951	0.8898734606
952	0.8898342198
953	0.8897746798
954	0.8897432828
955	0.8897028241
956	0.8896335189
957	0.8896026282
958	0.8895710938
959	0.8895447192
960	0.8894937666
961	0.8894494612
962	0.8894231621
963	0.8893800181
964	0.8893303504
965	0.8892807027
966	0.8892436297
967	0.8891746872
968	0.8891180069
969	0.8890664724
970	0.8890087255
971	0.8889645781
972	0.8889344276
973	0.8888937632
974	0.8888448738
975	0.8887800549
976	0.8887332743
977	0.8887026364
978	0.8886575738
979	0.8886292752
980	0.8885564218
981	0.8884995296
982	0.8884633679
983	0.8884268944
984	0.8884196659
985	0.8883797133
986	0.8883415561
987	0.888311247
988	0.8882661802
989	0.8882451728
990	0.8881894753
991	0.8881475205
992	0.8881160073
993	0.8880646493
994	0.8880247561
995	0.8879790999
996	0.8879299638
997	0.8878989042
998	0.8878608386
999	0.8878132754
